date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:37	69554/69554	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Mar%202021%2001:56:26%20GMT	http://www.devmedia.com.br/exemplos/css/mCSB_buttons.png	D:/parte2-backend/back-end/www.devmedia.com.br/exemplos/css/mCSB_buttons.36.delayed	(from http://www.devmedia.com.br/exemplos/css/jquery.mCustomScrollbar.min.css)
22:56:38	31617/31617	---M--	200	added ('OK')	image/png	etag:%220d0def8748ed51:0%22	http://www.devmedia.com.br/perfil/img/gold-texture-line.png	D:/parte2-backend/back-end/www.devmedia.com.br/perfil/img/gold-texture-line.png	(from http://www.devmedia.com.br/perfil/css/preview.css?i=73.76)
22:56:38	69374/69374	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Mar%202021%2001:56:27%20GMT	https://www.devmedia.com.br/exemplos/css/mCSB_buttons.png	D:/parte2-backend/back-end/www.devmedia.com.br/exemplos/css/mCSB_buttons.37.delayed	(from http://www.devmedia.com.br/exemplos/css/jquery.mCustomScrollbar.min.css)
22:56:40	94/94	---M--	200	added ('OK')	image/png	etag:%22048ff265f2d41:0%22	http://www.devmedia.com.br/view/img/grid-light.png?2	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/grid-lightc81e.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:40	964/964	---M--	200	added ('OK')	image/png	etag:%220ef393033f8d31:0%22	http://www.devmedia.com.br/view/img/grid.png	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/grid.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:41	15484/15484	---M--	200	added ('OK')	image/png	etag:%22067a3cc2f6d31:0%22	http://www.devmedia.com.br/view/img/rock-hand.png	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/rock-hand.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:41	14929/14929	---M--	200	added ('OK')	image/png	etag:%22067a3cc2f6d31:0%22	http://www.devmedia.com.br/view/img/rock-hand-2.png	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/rock-hand-2.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:42	165/165	---M--	200	added ('OK')	image/png	etag:%2280c2c1228ee8d31:0%22	http://www.devmedia.com.br/view/img/list-style-img.png	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/list-style-img.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:42	130/130	---M--	200	added ('OK')	image/png	etag:%22805e4a5ac4d41:0%22	http://www.devmedia.com.br/view/img/sublist-style-img.png	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/sublist-style-img.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:43	100/100	---M--	200	added ('OK')	image/png	etag:%2280e656b4c3ed31:0%22	http://www.devmedia.com.br/view/img/1px_linha-anotacao.png	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/1px_linha-anotacao.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
22:56:46	69374/69374	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Mar%202021%2001:56:34%20GMT	https://www.devmedia.com.br/html-basico-codigos-html/2/	D:/parte2-backend/back-end/www.devmedia.com.br/html-basico-codigos-html/2/index.html	(from https://www.devmedia.com.br/js/2013/prism.js)
22:56:48	169050/169050	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2001:56:34%20GMT	https://www.devmedia.com.br/html-basico-codigos-html/16596?=	D:/parte2-backend/back-end/www.devmedia.com.br/html-basico-codigos-html/1659643ec.html	(from https://www.devmedia.com.br/js/2013/prism.js)
22:56:50	69374/69374	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Mar%202021%2001:56:36%20GMT	https://www.devmedia.com.br/html-basico-codigos-html/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.13/jquery.mousewheel.min.js	D:/parte2-backend/back-end/www.devmedia.com.br/html-basico-codigos-html/cdnjs.cloudflare.com/ajax/libs/jquery-mousewheel/3.1.13/jquery.mousewheel.min.41.delayed	(from http://www.devmedia.com.br/exemplos/js/jquery.mCustomScrollbar.js)
22:56:51	3975/3975	---M-Z	200	added ('OK')	text/css	etag:%22806eb37dfcced61:0%22	http://www.devmedia.com.br/perfil/css/preview.css?i=17.99	D:/parte2-backend/back-end/www.devmedia.com.br/perfil/css/previewd405.css	(from http://www.devmedia.com.br/perfil/js/preview.js?id=17)
22:56:52	86555/86555	---M--	200	added ('OK')	image/png	etag:%220953ba3eef9d31:0%22	http://www.devmedia.com.br/view/img/bg-devcast.png?1	D:/parte2-backend/back-end/www.devmedia.com.br/view/img/bg-devcastc4ca.png	(from http://www.devmedia.com.br/view/css/viewcomp.css?5,77)
